epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.334,2.76105,8.15136,2.53474,0,0,0,0,5.20848,inf,36.0625,0.000546249,0.000546249,0.000546249
2,38.8114,2.33029,4.26652,2.27031,0.00235,0.19281,0.00144,0.00044,3.30522,292.02,18.1105,0.0010988,0.0010988,0.0010988
3,57.7359,2.42127,3.97964,2.40686,0.0478,0.16102,0.03291,0.0123,2.35067,22.0355,3.17135,0.0016482,0.0016482,0.0016482
4,76.0387,2.5213,4.09897,2.4829,0.00755,0.05932,0.00402,0.00183,2.62537,123.363,4.24135,0.00165285,0.00165285,0.00165285
5,94.1467,2.33782,3.7336,2.38718,6e-05,0.01695,3e-05,2e-05,2.80473,inf,3.49658,0.00164814,0.00164814,0.00164814
6,112.692,2.36805,4.95628,2.48298,0.61636,0.11017,0.055,0.01268,nan,nan,nan,0.00164342,0.00164342,0.00164342
7,131.119,2.36068,3.71151,2.31845,0.58716,0.07627,0.03566,0.00823,nan,nan,nan,0.00163871,0.00163871,0.00163871
8,149.45,2.26766,3.39627,2.26923,0.70317,0.09322,0.08978,0.03369,nan,nan,nan,0.00163399,0.00163399,0.00163399
9,167.843,2.24033,3.18939,2.20015,0.71146,0.14911,0.11403,0.03398,2.55071,7.05654,2.70129,0.00162928,0.00162928,0.00162928
10,186.568,2.18987,3.15233,2.21492,0.82248,0.31356,0.34854,0.12675,2.15666,5.96917,2.36749,0.00162456,0.00162456,0.00162456
11,204.968,2.10371,2.97417,2.1404,0.90624,0.14407,0.15194,0.06597,2.3933,20.586,2.57708,0.00161985,0.00161985,0.00161985
12,223.462,2.03969,2.86881,2.11402,0.78002,0.38983,0.38685,0.18418,1.85006,3.0623,2.14199,0.00161513,0.00161513,0.00161513
13,241.555,2.04028,2.82047,2.10168,0.78629,0.26114,0.28173,0.10208,2.20794,3.45252,2.46195,0.00161042,0.00161042,0.00161042
14,259.499,2.01234,2.80006,2.03891,0.74187,0.40678,0.2797,0.10663,1.91713,3.20856,2.09151,0.0016057,0.0016057,0.0016057
15,277.464,2.01354,2.86251,2.0347,0.87564,0.34746,0.41799,0.22454,1.66075,3.62452,1.94988,0.00160099,0.00160099,0.00160099
16,295.518,1.94245,2.73093,1.99007,0.9165,0.42273,0.48627,0.24139,1.78359,3.66055,1.99359,0.00159627,0.00159627,0.00159627
17,313.559,1.94418,2.55043,1.95757,0.89619,0.38815,0.4533,0.19473,1.85187,2.27301,2.05205,0.00159156,0.00159156,0.00159156
18,331.483,1.87137,2.46502,1.90457,0.75682,0.19492,0.20856,0.09938,2.1133,3.24501,2.26626,0.00158684,0.00158684,0.00158684
19,349.455,1.8717,2.49698,1.9459,0.50188,0.4482,0.46971,0.23373,1.84103,2.29578,2.06573,0.00158213,0.00158213,0.00158213
20,367.393,1.86241,2.59457,1.91586,0.7169,0.48305,0.33057,0.16411,1.67435,2.46657,1.957,0.00157741,0.00157741,0.00157741
21,385.31,1.77175,2.35469,1.80982,0.97494,0.47458,0.52657,0.26393,1.75179,1.90353,1.99746,0.0015727,0.0015727,0.0015727
22,403.329,1.77492,2.39991,1.82303,0.89424,0.44227,0.51297,0.27031,1.68404,1.99347,1.88413,0.00156798,0.00156798,0.00156798
23,421.374,1.79369,2.44797,1.87918,0.91561,0.4322,0.47789,0.25371,1.76544,2.49773,1.90926,0.00156326,0.00156326,0.00156326
24,439.301,1.76397,2.30727,1.83713,0.95406,0.44915,0.50618,0.24102,1.84331,2.18221,2.01125,0.00155855,0.00155855,0.00155855
25,457.223,1.75817,2.27354,1.82231,0.93297,0.4661,0.52307,0.2905,1.56628,1.78027,1.79244,0.00155383,0.00155383,0.00155383
26,475.275,1.74544,2.18185,1.80304,0.96158,0.40731,0.50245,0.28587,1.67472,1.98687,1.88056,0.00154912,0.00154912,0.00154912
27,493.181,1.73005,2.22668,1.8073,0.9234,0.46847,0.5856,0.30315,1.62196,1.67894,1.83833,0.0015444,0.0015444,0.0015444
28,511.22,1.75857,2.22397,1.8188,0.78244,0.4322,0.44193,0.24826,1.63902,2.52772,1.83339,0.00153969,0.00153969,0.00153969
29,529.149,1.63877,2.0408,1.70078,0.96464,0.48305,0.54248,0.30969,1.68313,1.61228,1.88467,0.00153497,0.00153497,0.00153497
30,547.203,1.67059,2.03428,1.78616,0.95846,0.46767,0.54321,0.28388,1.74991,1.83791,1.91765,0.00153026,0.00153026,0.00153026
31,565.19,1.73963,2.06606,1.82397,0.68587,0.61819,0.6236,0.33383,1.61374,1.94647,1.89197,0.00152554,0.00152554,0.00152554
32,583.242,1.74443,1.96033,1.80057,0.64368,0.61778,0.6142,0.35214,1.58101,2.25056,1.84528,0.00152083,0.00152083,0.00152083
33,601.288,1.66546,2.04437,1.75397,0.63051,0.60719,0.62264,0.33044,1.62246,1.37172,1.86047,0.00151611,0.00151611,0.00151611
34,619.186,1.66331,1.91661,1.74758,0.62668,0.59778,0.60726,0.34179,1.61642,1.33018,1.80656,0.0015114,0.0015114,0.0015114
35,637.13,1.59701,1.85134,1.6798,0.70664,0.6391,0.64953,0.32782,1.76546,2.13517,1.97413,0.00150668,0.00150668,0.00150668
36,655.028,1.61605,1.91587,1.69757,0.70377,0.65038,0.7194,0.40622,1.47061,1.26966,1.69436,0.00150197,0.00150197,0.00150197
37,673.036,1.59183,1.89254,1.6685,0.57553,0.59195,0.63358,0.36924,1.54672,1.97802,1.7689,0.00149725,0.00149725,0.00149725
38,690.996,1.55622,1.85215,1.66489,0.7005,0.59023,0.64822,0.37374,1.54702,1.37985,1.7059,0.00149254,0.00149254,0.00149254
39,708.927,1.59881,1.83721,1.72094,0.75855,0.64566,0.71291,0.39021,1.48064,1.31489,1.67626,0.00148782,0.00148782,0.00148782
40,726.859,1.57887,1.73741,1.66309,0.6052,0.61654,0.63949,0.3604,1.50267,1.35368,1.70294,0.00148311,0.00148311,0.00148311
41,744.869,1.51734,1.7578,1.6075,0.64071,0.60902,0.61523,0.37272,1.42815,2.52898,1.67946,0.00147839,0.00147839,0.00147839
42,762.798,1.52197,1.75153,1.62324,0.57419,0.63973,0.65602,0.38113,1.43208,1.34712,1.63158,0.00147368,0.00147368,0.00147368
43,780.714,1.53852,1.70181,1.63787,0.68614,0.67293,0.67983,0.3911,1.43516,1.44067,1.64622,0.00146896,0.00146896,0.00146896
44,798.708,1.54269,1.79448,1.67369,0.69766,0.62434,0.66604,0.35948,1.52332,1.32228,1.78363,0.00146425,0.00146425,0.00146425
45,816.688,1.62491,1.8889,1.66267,0.65724,0.58125,0.64431,0.39638,1.43981,1.3524,1.6296,0.00145953,0.00145953,0.00145953
46,834.602,1.51639,1.71545,1.63418,0.7322,0.66541,0.71884,0.41475,1.47136,1.20426,1.6444,0.00145481,0.00145481,0.00145481
47,852.65,1.58974,1.7469,1.66422,0.74106,0.69829,0.72581,0.4074,1.39297,1.33287,1.60764,0.0014501,0.0014501,0.0014501
48,870.721,1.52015,1.59885,1.62327,0.76172,0.57773,0.6819,0.35057,1.56913,1.40963,1.72388,0.00144538,0.00144538,0.00144538
49,888.676,1.61219,1.75784,1.71928,0.7051,0.65718,0.66655,0.41523,1.42553,1.69463,1.65129,0.00144067,0.00144067,0.00144067
50,906.607,1.52497,1.52646,1.61507,0.65219,0.67422,0.67149,0.37489,1.51326,1.60161,1.70207,0.00143595,0.00143595,0.00143595
51,924.576,1.6025,1.74756,1.67861,0.66674,0.60991,0.63717,0.40622,1.37381,2.57139,1.62115,0.00143124,0.00143124,0.00143124
52,942.483,1.5076,1.60157,1.60432,0.75821,0.60509,0.69571,0.39145,1.60565,1.41763,1.76977,0.00142652,0.00142652,0.00142652
53,960.378,1.46814,1.53869,1.57794,0.69042,0.67819,0.70743,0.43116,1.35417,1.11101,1.60953,0.00142181,0.00142181,0.00142181
54,978.398,1.44476,1.47858,1.57298,0.75316,0.69077,0.72424,0.41966,1.42081,1.09038,1.6384,0.00141709,0.00141709,0.00141709
55,996.323,1.53635,1.60677,1.61589,0.72402,0.68797,0.71097,0.39099,1.50004,1.17864,1.67061,0.00141238,0.00141238,0.00141238
56,1014.23,1.52049,1.58293,1.64453,0.67015,0.68045,0.70404,0.38509,1.45873,1.27873,1.62815,0.00140766,0.00140766,0.00140766
57,1032.14,1.48818,1.46119,1.58413,0.63419,0.68395,0.71125,0.42073,1.41623,1.11971,1.61298,0.00140295,0.00140295,0.00140295
58,1050.06,1.4908,1.53239,1.62165,0.71259,0.75188,0.76756,0.45979,1.36772,1.0225,1.58287,0.00139823,0.00139823,0.00139823
59,1068.05,1.48787,1.40455,1.59696,0.54364,0.66822,0.62146,0.38327,1.44308,1.9107,1.65691,0.00139352,0.00139352,0.00139352
60,1085.97,1.47856,1.47301,1.62763,0.77528,0.71805,0.73848,0.45214,1.34794,1.14048,1.58092,0.0013888,0.0013888,0.0013888
61,1103.91,1.45395,1.43589,1.55351,0.66651,0.69925,0.69387,0.4079,1.44895,1.21648,1.65555,0.00138409,0.00138409,0.00138409
62,1121.83,1.47426,1.54874,1.60707,0.41238,0.39047,0.42804,0.22343,1.65295,2.72414,1.7902,0.00137937,0.00137937,0.00137937
63,1139.78,1.55233,1.48053,1.62276,0.72618,0.68421,0.70054,0.43301,1.41251,1.24828,1.61789,0.00137466,0.00137466,0.00137466
64,1157.71,1.45277,1.37551,1.54965,0.81182,0.62038,0.75856,0.44518,1.47067,1.13806,1.59827,0.00136994,0.00136994,0.00136994
65,1175.65,1.42329,1.39612,1.54185,0.7742,0.71429,0.7528,0.41588,1.47115,0.99961,1.61257,0.00136523,0.00136523,0.00136523
66,1193.58,1.46076,1.42369,1.57149,0.80155,0.7218,0.74787,0.39758,1.49015,1.31117,1.65043,0.00136051,0.00136051,0.00136051
67,1211.53,1.42576,1.30768,1.54198,0.74192,0.74453,0.76467,0.45654,1.33463,0.98168,1.57446,0.00135579,0.00135579,0.00135579
68,1229.47,1.43016,1.39328,1.56785,0.77691,0.75844,0.79856,0.47419,1.40821,0.98033,1.59312,0.00135108,0.00135108,0.00135108
69,1247.49,1.43125,1.33423,1.54392,0.74458,0.75983,0.75755,0.43394,1.41268,1.40414,1.5837,0.00134636,0.00134636,0.00134636
70,1265.44,1.41118,1.3459,1.53867,0.66818,0.7218,0.66684,0.40697,1.35924,1.63274,1.59402,0.00134165,0.00134165,0.00134165
71,1283.38,1.43291,1.45255,1.56846,0.67459,0.70677,0.72434,0.41089,1.45854,1.13482,1.63156,0.00133693,0.00133693,0.00133693
72,1301.3,1.44695,1.41257,1.56481,0.72875,0.71613,0.68822,0.41017,1.44415,1.82175,1.5982,0.00133222,0.00133222,0.00133222
73,1319.22,1.41424,1.31177,1.50554,0.82198,0.75249,0.78745,0.47149,1.32567,0.98368,1.52242,0.0013275,0.0013275,0.0013275
