epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4611,2.28842,3.72807,1.85375,0.0118,0.2256,0.00834,0.00322,2.1666,3.61481,1.72626,6.668e-05,6.668e-05,6.668e-05
2,185.03,2.20014,2.53702,1.60099,0.09717,0.43278,0.2379,0.09043,2.00611,inf,1.58182,0.00014904,0.00014904,0.00014904
3,272.863,1.9821,1.43975,1.40551,0.73981,0.36188,0.27858,0.10696,2.00545,4.12589,1.66627,0.000230299,0.000230299,0.000230299
4,362.418,1.86999,1.2994,1.34454,0.5226,0.1989,0.01592,0.00767,2.03413,inf,1.76287,0.000310459,0.000310459,0.000310459
5,455.125,1.82706,1.25563,1.40033,0.00075,0.00737,0.00038,0.00018,2.45826,inf,2.21313,0.000389518,0.000389518,0.000389518
6,549.925,1.83731,1.21801,1.35076,0.00436,0.04236,0.00232,0.00118,2.34725,inf,2.04461,0.000467477,0.000467477,0.000467477
7,638.768,1.81572,1.27082,1.32388,0.00436,0.04236,0.00232,0.00118,2.50524,inf,5.05705,0.000544336,0.000544336,0.000544336
8,724.213,1.78022,1.18816,1.34624,0.38078,0.5422,0.42522,0.16678,2.06979,1.42986,1.79072,0.000620094,0.000620094,0.000620094
9,806.442,1.82912,1.21595,1.37181,0.42853,0.49248,0.45713,0.18221,1.92581,3.12705,1.75519,0.000694752,0.000694752,0.000694752
10,896.559,1.82115,1.18949,1.35749,0.54712,0.58258,0.51934,0.22498,1.92978,2.61387,1.69488,0.00076831,0.00076831,0.00076831
11,979.41,1.75014,1.17226,1.32324,0.38824,0.6339,0.47529,0.19786,1.91732,3.82756,1.68899,0.000840768,0.000840768,0.000840768
12,1064.05,1.76553,1.14862,1.35827,0.32712,0.66007,0.48237,0.20692,2.0114,1.97742,1.72685,0.000912126,0.000912126,0.000912126
13,1151.49,2.05714,1.27479,1.39472,0.30304,0.67406,0.46527,0.17244,2.05635,2.08896,1.77727,0.000982383,0.000982383,0.000982383
14,1239.32,1.89263,1.19796,1.39569,0.25517,0.66743,0.29399,0.11823,2.07554,5.62327,1.88859,0.00105154,0.00105154,0.00105154
15,1324.57,1.87524,1.23569,1.35653,0.20744,0.39625,0.15336,0.06997,2.03698,9.63759,1.81569,0.0011196,0.0011196,0.0011196
16,1414.05,1.83256,1.22436,1.35956,0.20442,0.34669,0.13111,0.06074,1.94833,7.83709,1.71494,0.00118655,0.00118655,0.00118655
17,1501.95,1.8158,1.21072,1.40206,0.32393,0.60681,0.35749,0.14566,1.91606,3.00146,1.62106,0.00125241,0.00125241,0.00125241
18,1592.18,1.77483,1.26262,1.34145,0.43207,0.63889,0.48201,0.17968,2.02672,2.26045,1.64681,0.00131717,0.00131717,0.00131717
19,1677.78,1.75378,1.19963,1.2646,0.4605,0.60436,0.44727,0.17925,2.0429,2.53623,1.65666,0.00138082,0.00138082,0.00138082
20,1766.04,1.74372,1.11034,1.28819,0.52877,0.48055,0.42211,0.15839,2.08246,2.17664,1.64996,0.00144338,0.00144338,0.00144338
21,1856.66,1.78454,1.10022,1.34101,0.1506,0.18432,0.10579,0.04184,2.81774,2.91122,3.17905,0.00144696,0.00144696,0.00144696
22,1941.67,1.81086,1.05629,1.34075,0.22131,0.1768,0.15434,0.06196,2.48679,2.91378,1.98595,0.00143595,0.00143595,0.00143595
